x	xend	y	yend	showSelected1	PANEL
0.1	-0.7875	10.9955742875643	10.9955742875643	0.1	2
0.2	-0.7875	4.71238898038469	4.71238898038469	0.2	2
0.3	-0.7875	-0.785398163397448	-0.785398163397448	0.3	2
0.4	-0.7875	4.71238898038469	4.71238898038469	0.4	2
0.5	-0.7875	1.5707963267949	1.5707963267949	0.5	2
0.6	-0.7875	1.5707963267949	1.5707963267949	0.6	2
0.7	-0.7875	1.5707963267949	1.5707963267949	0.7	2
0.8	-0.7875	1.5707963267949	1.5707963267949	0.8	2
0.9	-0.7875	1.5707963267949	1.5707963267949	0.9	2
1	-0.7875	1.5707963267949	1.5707963267949	1	2
1.1	-0.7875	1.5707963267949	1.5707963267949	1.1	2
1.2	-0.7875	1.5707963267949	1.5707963267949	1.2	2
1.3	-0.7875	1.5707963267949	1.5707963267949	1.3	2
1.4	-0.7875	1.5707963267949	1.5707963267949	1.4	2
1.5	-0.7875	1.5707963267949	1.5707963267949	1.5	2
1.6	-0.7875	1.5707963267949	1.5707963267949	1.6	2
1.7	-0.7875	1.5707963267949	1.5707963267949	1.7	2
1.8	-0.7875	1.5707963267949	1.5707963267949	1.8	2
1.9	-0.7875	1.5707963267949	1.5707963267949	1.9	2
2	-0.7875	1.5707963267949	1.5707963267949	2	2
2.1	-0.7875	1.5707963267949	1.5707963267949	2.1	2
2.2	-0.7875	1.5707963267949	1.5707963267949	2.2	2
2.3	-0.7875	1.5707963267949	1.5707963267949	2.3	2
2.4	-0.7875	1.5707963267949	1.5707963267949	2.4	2
2.5	-0.7875	1.5707963267949	1.5707963267949	2.5	2
2.6	-0.7875	1.5707963267949	1.5707963267949	2.6	2
2.7	-0.7875	1.5707963267949	1.5707963267949	2.7	2
2.8	-0.7875	-0.785398163397448	-0.785398163397448	2.8	2
2.9	-0.7875	-0.785398163397448	-0.785398163397448	2.9	2
3	-0.7875	-0.785398163397448	-0.785398163397448	3	2
3.1	-0.7875	-0.785398163397448	-0.785398163397448	3.1	2
3.2	-0.7875	16.4933614313464	16.4933614313464	3.2	2
3.3	-0.7875	16.4933614313464	16.4933614313464	3.3	2
3.4	-0.7875	7.85398163397448	7.85398163397448	3.4	2
3.5	-0.7875	-0.785398163397448	-0.785398163397448	3.5	2
3.6	-0.7875	4.71238898038469	4.71238898038469	3.6	2
3.7	-0.7875	4.71238898038469	4.71238898038469	3.7	2
3.8	-0.7875	4.71238898038469	4.71238898038469	3.8	2
3.9	-0.7875	4.71238898038469	4.71238898038469	3.9	2
4	-0.7875	4.71238898038469	4.71238898038469	4	2
4.1	-0.7875	4.71238898038469	4.71238898038469	4.1	2
4.2	-0.7875	4.71238898038469	4.71238898038469	4.2	2
4.3	-0.7875	4.71238898038469	4.71238898038469	4.3	2
4.4	-0.7875	4.71238898038469	4.71238898038469	4.4	2
